#trace82	trace84	trace86	trace88
-193.21825	-87.001808	-98.704269	-123.52512
-209.37738	-99.4739	-98.030029	-115.75733
-212.7216	-110.97601	-106.61868	-107.11659
-205.00053	-118.08745	-116.15297	-102.73761
-187.44211	-120.75434	-118.43157	-101.37254
-164.33099	-121.34673	-115.06287	-99.102036
-142.7672	-122.8807	-111.46077	-95.24614
-127.11948	-129.25681	-108.02481	-91.463341
-117.15523	-143.16098	-102.05121	-88.598419
-110.96606	-159.86427	-94.186432	-88.040894
-109.34009	-168.27068	-86.740753	-93.292419
-116.30627	-161.70512	-79.537956	-104.78861
-136.1571	-145.84082	-70.969749	-116.10758
-168.3006	-135.50212	-60.950405	-119.46161
-202.86455	-140.99611	-51.451916	-113.28411
-226.6268	-157.8725	-43.918068	-102.28144
-232.02074	-171.96884	-37.626652	-92.533241
-219.66612	-173.15039	-31.921524	-87.393669
-196.66917	-164.09505	-28.213034	-86.790741
-173.39218	-155.13309	-28.801508	-92.326736
-158.2708	-150.39122	-35.477699	-104.89767
-153.05089	-146.68877	-47.445362	-117.13386
-154.83716	-142.84305	-60.247246	-119.86713
-158.18649	-138.79034	-69.437447	-112.30839
-155.7841	-132.62476	-73.968994	-101.96313
-145.01236	-123.8054	-74.77372	-96.987251
-129.72734	-113.50455	-72.895615	-96.759407
-113.62321	-102.54255	-70.003632	-93.090889
-97.593735	-90.307831	-69.007095	-82.589539
-82.413071	-76.93528	-71.420158	-70.274788
-70.662132	-65.774498	-76.923378	-61.30999
-64.56871	-60.701015	-84.61319	-55.902439
-63.666744	-61.226219	-92.310097	-52.175377
-64.642265	-63.177322	-97.066589	-49.804146
-63.321861	-63.874268	-97.351082	-49.272198
-58.586906	-63.898781	-94.529381	-50.34185
-51.830353	-64.079079	-90.266014	-52.692516
-43.723488	-63.966068	-85.689056	-56.538563
-36.571213	-63.396751	-82.945488	-64.064423
-34.667206	-62.514572	-82.648743	-76.466347
-38.26791	-61.240303	-82.614716	-88.505524
-42.438011	-60.168194	-81.063225	-93.437187
-43.853313	-59.635765	-79.091461	-90.132034
-45.8592	-59.101955	-79.534714	-80.949341
-53.117027	-59.560131	-84.293541	-69.753242
-63.193584	-61.849533	-94.212959	-62.641296
-69.673424	-63.859146	-108.55465	-64.397202
-70.706383	-63.506195	-121.78001	-73.158913
-69.000969	-60.575104	-123.96829	-82.83358
-67.046616	-54.081535	-110.23388	-89.320572
-64.282066	-44.248119	-88.841606	-91.954491
-58.958935	-35.393547	-73.459648	-92.49221
-52.777809	-30.996126	-71.954941	-93.737823
-50.472237	-31.433432	-83.833939	-96.527573
-54.338303	-37.368217	-102.91266	-98.10244
-61.008167	-48.058155	-121.27361	-96.113098
-64.594666	-59.621704	-131.84862	-92.453255
-62.027752	-71.317223	-130.8064	-90.272758
-54.808353	-89.844009	-119.39204	-89.754341
-47.233337	-116.37471	-103.09195	-89.932175
-43.01889	-136.97112	-87.833794	-91.331192
-42.332783	-138.94644	-77.799309	-93.540871
-41.608398	-125.26257	-73.801773	-93.804932
-37.01569	-106.63229	-72.696648	-90.649895
-29.257843	-89.989655	-70.560593	-84.953255
-23.174316	-77.506882	-65.736572	-77.047882
-22.087029	-71.375	-59.526775	-67.811279
-25.033092	-74.220169	-54.115143	-59.962666
-29.58423	-87.568283	-49.957535	-54.938129
-35.639084	-112.18501	-46.23888	-51.485737
-44.877796	-144.21156	-42.243397	-48.874916
-55.456276	-175.04105	-39.278122	-49.492935
-61.835712	-201.00906	-40.913967	-54.50861
-61.955326	-220.34982	-47.732677	-59.142525
-59.2113	-225.4283	-56.34528	-58.228767
-55.357162	-212.98172	-65.771408	-53.808765
-50.165821	-189.77275	-76.080322	-51.924129
-46.947056	-164.21002	-84.251411	-53.247047
-48.79063	-140.97009	-88.578712	-51.862679
-53.63438	-123.01048	-90.783531	-45.123188
-56.852829	-114.42892	-91.7612	-38.18766
-55.818523	-116.29299	-92.822258	-35.298676
-52.574402	-121.65625	-100.91049	-34.354591
-53.85194	-122.09382	-121.35223	-32.937641
-64.12841	-117.39568	-144.82648	-31.595228
-79.737846	-111.37399	-155.70586	-30.566509
-93.213043	-105.13791	-152.70747	-29.659729
-100.80425	-99.994408	-146.95049	-28.709679
-103.58884	-99.034729	-143.16606	-26.554218
-103.20597	-103.62852	-137.18811	-22.102888
-100.408	-111.57049	-128.20465	-17.466496
-96.962341	-118.8199	-120.96854	-18.428295
-95.474701	-122.32002	-119.24128	-27.937611
-97.863205	-120.64307	-123.27197	-40.606354
-101.75213	-114.68722	-130.01781	-48.892883
-101.73705	-109.97834	-134.02005	-53.195248
-98.496468	-112.39716	-131.8448	-59.317566
-99.341629	-120.67088	-125.908	-67.969193
-108.11946	-129.13338	-121.22561	-74.669182
-120.59289	-135.66161	-119.45551	-78.286842
-130.93285	-140.52138	-116.90002	-81.505417
-137.30467	-143.07664	-110.82984	-82.978653
-140.53975	-143.25739	-104.85341	-77.863487
-143.95267	-142.35397	-101.39639	-67.082634
-150.36304	-141.23492	-96.27066	-55.870098
-156.57442	-139.58421	-86.244179	-45.112194
-156.63345	-137.41939	-75.402298	-33.054947
-149.05524	-134.69206	-69.289772	-22.077351
-139.62173	-132.14296	-68.935097	-16.024286
-134.63707	-131.8262	-72.983086	-15.812431
-133.01901	-133.004	-79.656746	-21.045937
-130.47658	-131.40404	-86.711349	-29.43803
-127.40117	-124.80824	-92.257042	-36.358616
-128.67018	-116.61263	-96.079384	-39.213081
-136.03093	-110.97573	-99.727013	-38.476177
-143.59184	-109.47865	-102.06989	-34.529709
-146.18141	-112.57893	-98.252724	-28.719349
-145.55856	-116.92764	-88.636742	-24.426157
-142.52469	-117.12514	-81.545334	-23.664492
-135.1586	-111.89168	-83.253113	-27.125937
-125.33462	-103.84705	-92.214264	-37.186661
-115.75304	-96.482552	-103.85047	-56.578438
-106.3769	-91.91124	-116.54545	-83.537178
-98.024956	-89.944695	-130.24284	-108.93238
-93.989777	-89.8134	-139.52229	-120.90573
-96.19175	-90.626114	-137.99472	-114.76402
-101.60776	-91.719154	-129.18138	-95.663017
-105.8652	-93.338448	-122.36153	-73.799706
-107.30905	-93.125748	-120.71833	-58.59259
-105.09344	-86.791084	-120.74763	-54.242458
-99.2658	-75.020439	-119.44289	-58.774483
-93.079292	-63.059204	-116.9072	-66.359566
