#trace90	trace92	trace94
-159.96695	-155.27063	-170.11453
-166.24138	-139.746	-163.68771
-169.95921	-130.84862	-158.15984
-167.85344	-128.00993	-153.95992
-159.88095	-130.03502	-148.72685
-149.22978	-136.2747	-138.46892
-141.17308	-145.49506	-122.8681
-140.27243	-156.62437	-105.00754
-147.24431	-170.04922	-89.432159
-157.15494	-183.44714	-80.264816
-163.45036	-190.86089	-78.12487
-164.50722	-189.34091	-80.586197
-160.99365	-181.49197	-84.934967
-152.37889	-171.41965	-89.632957
-141.31256	-160.26375	-93.663681
-131.56903	-149.07581	-95.558083
-122.56707	-142.59982	-94.058556
-113.87756	-141.68053	-89.923584
-108.7449	-139.24123	-85.879051
-109.48405	-130.39711	-85.171928
-115.91376	-118.24098	-90.814796
-126.88457	-108.33831	-101.60991
-137.05856	-103.92455	-111.03352
-137.10028	-104.1059	-113.75087
-123.39346	-104.73724	-108.15618
-103.55615	-104.46173	-96.221947
-88.890991	-105.6957	-86.48011
-84.910759	-108.68971	-88.846008
-89.002472	-110.78709	-102.24345
-93.307137	-110.56525	-114.68027
-92.656792	-108.28866	-116.15305
-88.192703	-104.7943	-106.9827
-83.113014	-101.76725	-95.484848
-80.507072	-100.32542	-90.568108
-81.976433	-99.234047	-94.336624
-85.282845	-95.132858	-102.59439
-87.868195	-86.063194	-111.49751
-91.01725	-74.540611	-117.4824
-95.654373	-64.631882	-117.36848
-99.034554	-58.058342	-113.99661
-99.772385	-54.941212	-113.48139
-100.46967	-55.806622	-116.58229
-104.15097	-60.720119	-119.27026
-111.33537	-68.818695	-119.10881
-118.36101	-79.257309	-116.45742
-119.23296	-91.291649	-114.01987
-111.13726	-103.51075	-115.9386
-96.710739	-112.98464	-121.89124
-81.63015	-117.40797	-126.49388
-71.305473	-119.05952	-126.61264
-68.676651	-123.34126	-122.60927
-72.760597	-131.51291	-115.9854
-79.805435	-137.51813	-109.04829
-87.716576	-135.85564	-103.32372
-97.100388	-129.67355	-99.230553
-107.08271	-126.23986	-96.109947
-115.61534	-130.00291	-92.059761
-122.56857	-140.33054	-88.094971
-126.54498	-150.37277	-88.501328
-124.87319	-152.9882	-92.565842
-120.00971	-148.66092	-94.056732
-117.14001	-140.47339	-88.868729
-117.01299	-127.70138	-78.421356
-118.01566	-111.40657	-69.368233
-119.87748	-96.424896	-67.63974
-123.16356	-85.488052	-71.007423
-125.82582	-77.589806	-73.304962
-122.55737	-70.981987	-73.370918
-112.1722	-66.422127	-74.964706
-100.58112	-67.525856	-80.275848
-94.272072	-76.439316	-88.000679
-95.166771	-88.662415	-97.153435
-99.81588	-95.893913	-106.63402
-103.00664	-95.638092	-111.89009
-104.4856	-93.314766	-109.00031
-108.63727	-93.360771	-100.72034
-117.58057	-94.446945	-92.006073
-127.68813	-93.918053	-84.524368
-132.50729	-91.995895	-78.292671
-128.37666	-92.349884	-73.901756
-120.1047	-96.72216	-71.738113
-116.48869	-100.12343	-71.557487
-118.33737	-97.440781	-74.375816
-120.58056	-91.337631	-82.426163
-122.40169	-88.289726	-96.069786
-126.43008	-89.327728	-110.01756
-134.4102	-89.919365	-116.32072
-147.02818	-87.511055	-112.2182
-160.90222	-83.364876	-102.55264
-167.80591	-80.343575	-94.252068
-162.1908	-83.285545	-91.137794
-145.69887	-96.49115	-94.082672
-124.96699	-115.752	-101.12707
-108.32203	-128.01967	-108.61256
-101.81036	-125.89029	-115.37743
-107.31911	-116.32137	-123.61741
-122.79298	-110.6409	-135.09656
-140.04936	-113.54974	-145.85362
-148.3856	-122.46981	-148.94675
-145.62309	-132.50151	-145.2245
-139.23659	-139.82217	-140.38185
-136.94493	-140.4828	-133.19685
-139.74959	-131.83473	-119.92224
-141.09836	-116.37172	-104.57591
-132.61319	-101.36688	-93.699554
-115.13017	-94.141357	-87.821053
-99.746033	-94.101944	-83.667702
-93.898148	-92.479507	-80.427597
-93.907562	-84.898849	-80.988953
-93.280128	-75.484322	-89.224289
-92.090767	-67.991745	-107.14394
-95.171272	-61.914223	-130.92891
-104.16644	-58.041355	-150.96184
-115.52095	-60.642544	-159.63588
-124.08428	-70.966103	-157.10838
-125.88341	-84.106522	-148.03871
-120.5449	-95.620064	-136.63417
-112.66164	-106.21167	-124.47411
-107.19245	-115.87659	-111.82085
-105.41172	-120.47186	-101.98581
-106.22728	-118.83675	-99.107735
-107.66338	-114.87998	-101.31277
-107.22396	-112.24185	-102.65479
-104.18352	-114.29935	-102.21481
-102.44328	-123.05588	-104.15105
-107.52933	-133.34254	-109.85889
-120.76491	-137.09503	-116.20621
-137.24799	-134.4659	-119.4609
-146.99313	-132.00096	-117.77235
-142.03319	-132.78458	-110.82053
-125.75394	-134.45218	-99.928116
-108.6758	-135.33586	-88.329208
-96.420929	-137.32323	-78.421478
-87.512932	-141.63799	-70.838326
-79.848999	-145.68932	-66.455605
-74.222748	-146.29997	-65.651489
-70.672539	-143.85493	-66.756248
-66.638901	-142.30389	-68.232979
-61.266068	-145.0356	-69.996613
-56.371346	-151.23213	-71.883995
-53.438644	-156.79669	-73.721931
-53.350571	-156.73837	-76.108353
-56.283443	-149.19263	-81.07766
-60.478436	-139.8213	-90.271889
-63.387222	-137.56479	-99.944221
-65.147514	-143.57779	-104.27268
-68.417603	-149.26898	-104.41241
-74.387421	-148.59355	-104.56805
-81.508904	-143.47087	-103.57229
-87.657814	-137.90741	-97.748352
-92.77932	-135.98659	-86.885895
-98.58802	-138.98195	-74.409927
-104.50388	-143.29518	-65.445686
-105.83811	-146.02504	-63.443424
-99.251137	-146.39323	-67.69471
-89.161736	-143.44623	-75.191315
-84.860649	-138.23241	-82.500755
-89.919426	-134.03134	-87.180809
-98.756966	-133.08397	-88.507019
-105.01923	-134.11339	-87.135345
-106.56104	-134.27399	-85.799866
-104.24653	-133.26595	-87.711876
-101.75176	-131.67722	-91.18763
-103.36713	-128.96336	-91.150635
-109.79422	-127.0169	-86.917542
-116.87328	-128.68416	-83.299301
-120.40286	-132.64142	-85.158264
-121.94837	-134.21722	-91.801849
-124.65682	-131.41029	-97.453156
-127.09942	-127.61952	-98.031815
-125.89082	-126.90053	-94.648514
-120.29357	-129.10461	-91.121544
-113.6055	-130.18243	-90.653465
-110.22228	-126.24996	-92.522522
-111.01124	-118.36914	-91.701324
-114.33186	-111.14566	-84.250374
-120.59292	-106.53995	-73.591171
-130.79594	-102.85458	-67.514114
-142.91252	-98.829735	-69.586655
-154.09615	-95.346069	-76.402039
-163.55768	-94.203171	-82.048958
-170.631	-96.41143	-84.534821
-174.35739	-99.870247	-86.133133
-174.51524	-100.43452	-86.852982
-169.64047	-96.46727	-83.928734
-159.58006	-91.039841	-77.693733
-148.87662	-88.702614	-70.801697
-141.97549	-91.030487	-65.459091
-138.84734	-97.445259	-64.970123
-136.10634	-107.3375	-71.126541
-129.91161	-118.30405	-79.621483
-121.59134	-126.36864	-84.02626
-116.99551	-131.81815	-83.852776
-118.17771	-137.74577	-82.548607
-121.36475	-142.86555	-81.746384
-122.55316	-144.77751	-82.922157
-121.35438	-145.8891	-88.037308
-118.52732	-150.03322	-95.893272
-114.77275	-156.81764	-101.74956
-113.1283	-162.47585	-101.73668
-116.39659	-164.45656	-98.357719
-121.81843	-162.09671	-99.627373
-123.38403	-156.16011	-109.22105
-121.19001	-149.20531	-120.95126
-121.68058	-143.92917	-126.22881
-125.54254	-140.72443	-122.12125
-124.05149	-136.49776	-111.25883
-111.62798	-126.90568	-98.986938
-94.573898	-112.33279	-90.831757
-83.738472	-99.35878	-88.831856
-82.11068	-93.920227	-90.475243
-83.787476	-95.166183	-92.523224
-83.777313	-97.920662	-95.184547
-83.549843	-100.00419	-100.94387
-87.705261	-105.27245	-108.91985
-95.751945	-116.75056	-115.19639
-100.40522	-129.02402	-117.30222
-96.644302	-132.58742	-115.27425
-88.135841	-123.4726	-111.32032
-81.316254	-107.7356	-108.05943
-78.446671	-96.610901	-106.26438
-78.506035	-95.938316	-104.64964
-79.488701	-103.46358	-101.26699
-79.640732	-117.14001	-96.943649
-78.04496	-135.17926	-95.961273
-74.409958	-148.82208	-101.01575
-70.419991	-148.22922	-110.83968
-70.008377	-133.58154	-122.3521
-75.762596	-113.67347	-133.27045
-85.445595	-99.244934	-143.40366
-92.678864	-98.247574	-153.12172
-92.697456	-108.09761	-162.01299
-86.520477	-117.46851	-169.57074
-79.444626	-122.11969	-173.4059
-77.221375	-126.11221	-171.20618
-80.138885	-126.8363	-166.48586
-81.700584	-116.70215	-166.85902
-79.42939	-99.752861	-172.70828
-78.976753	-89.210358	-173.20215
-83.2099	-89.715195	-161.01326
-89.378159	-93.305344	-142.90317
-96.919258	-91.836403	-129.25214
-107.53426	-85.506088	-124.57741
-122.94187	-81.379456	-129.87318
-144.32301	-88.361687	-142.41975
-165.47217	-107.13859	-153.87518
-175.24275	-126.84142	-157.11737
-170.13326	-136.74217	-152.7023
-156.77621	-135.57571	-144.71756
-145.02635	-129.61046	-136.80357
-139.63177	-125.16713	-131.94247
-135.80791	-123.1031	-130.19118
-126.10597	-120.52274	-129.10493
-110.32796	-115.10498	-127.42583
-94.913261	-106.62612	-123.6755
-85.96917	-96.931091	-115.54192
-84.790749	-90.387985	-104.74014
-91.534767	-90.453667	-96.831955
-108.07037	-94.882538	-96.952667
-131.55882	-99.696587	-105.42044
-153.55899	-103.40136	-114.52179
-171.02272	-104.59541	-114.88411
-183.93942	-101.3541	-107.03491
-185.98784	-93.485916	-99.13298
-175.08861	-84.935669	-94.643837
-158.40646	-82.923149	-90.924103
-141.39014	-90.761406	-86.407654
-125.20074	-103.45453	-82.911018
-111.34838	-114.15419	-81.918724
-103.49142	-121.03509	-81.036789
-104.23414	-126.89527	-77.883743
-111.77765	-134.94711	-73.906189
-120.96554	-144.27515	-70.814568
-126.86861	-151.25558	-69.246513
-127.31279	-154.96466	-70.852966
-124.29315	-156.05698	-75.75985
-122.83183	-154.27835	-80.061554
-126.06948	-151.77066	-80.289803
-133.369	-153.47003	-77.49308
-141.33148	-160.83275	-75.816208
-143.54944	-168.20679	-79.083145
-134.07442	-166.7639	-87.983574
-115.03693	-153.18623	-99.117592
-95.799919	-133.7132	-107.1048
-83.835075	-116.84914	-107.83363
-80.641922	-106.37692	-102.07629
-83.084801	-105.14738	-95.819374
-87.671036	-119.82684	-96.122063
-95.32972	-151.99193	-105.01421
-108.12019	-184.0643	-114.22368
-123.84251	-191.69205	-113.7494
-138.86824	-174.29152	-105.30142
-150.25688	-153.46518	-96.022331
-154.86316	-144.64441	-88.770981
-152.06615	-143.50262	-84.181702
-144.78802	-137.56728	-82.314682
-135.24165	-123.88332	-83.204819
-123.58174	-108.29809	-87.991394
-110.07812	-95.521072	-95.044212
-96.731964	-87.659019	-98.850624
-87.935585	-85.359589	-96.403366
-87.534195	-86.819252	-90.572319
-93.774673	-90.164307	-85.333038
-98.850548	-95.829994	-81.750359
-97.377998	-103.59935	-79.970276
-92.221207	-112.00576	-82.157257
-87.693756	-119.26324	-90.805786
-83.735245	-123.11093	-103.41811
-78.923622	-124.12046	-112.49433
-73.755859	-126.67234	-113.06988
-70.760979	-132.54906	-107.82307
-73.289986	-137.3868	-104.18716
-82.421867	-136.26794	-106.19489
-93.202942	-128.63953	-111.93032
-97.989372	-118.55629	-117.75945
-95.268784	-113.01633	-120.16956
-90.053719	-116.54325	-117.28867
-86.432762	-126.61771	-111.6776
-84.078636	-136.37347	-108.8573
-81.748817	-141.12936	-112.14403
-80.192368	-140.43253	-118.29667
-79.848259	-135.07631	-120.11679
-78.652588	-126.82111	-114.69294
-74.396309	-117.8224	-105.21383
-69.003662	-108.84806	-95.762726
-67.076889	-99.967438	-88.616905
-69.224457	-91.606544	-84.330811
-71.719521	-84.97332	-83.192085
-72.301331	-82.434044	-85.660843
-72.555794	-85.302376	-90.325188
-76.797653	-91.695984	-95.979118
-90.404922	-98.460091	-104.48392
-114.58427	-103.13734	-117.85994
-140.24643	-105.37968	-133.55873
-156.17966	-107.96628	-144.57495
-162.71262	-113.25821	-145.26195
-165.58406	-118.815	-136.68091
-165.9362	-119.69572	-126.46072
-162.99922	-113.4703	-121.79423
-156.61342	-102.04382	-124.27899
-149.10579	-90.439674	-131.27274
-145.75809	-83.970505	-137.36249
-150.40228	-85.12207	-137.81358
-162.0583	-91.336075	-133.16946
-175.18367	-98.183983	-125.81123
-183.28639	-104.72865	-115.59978
-181.9471	-111.38683	-102.81261
-169.97183	-115.60941	-90.829414
-151.94501	-114.27367	-83.719574
-136.38301	-108.80384	-83.714615
-127.89072	-103.91061	-90.176331
-124.65144	-101.13317	-98.029068
-123.08434	-98.598984	-99.770424
-121.18155	-95.488503	-93.391792
-120.75969	-92.68116	-85.814262
-124.27592	-90.011047	-84.776909
-128.35123	-85.650352	-90.503586
-128.56863	-80.758682	-97.847389
-126.65247	-79.268654	-103.09177
-124.94418	-81.125221	-105.75809
-121.29983	-83.561485	-106.00774
-113.75502	-85.96106	-104.71857
-105.4349	-87.86068	-104.38737
-102.97131	-89.42054	-105.18581
-108.80728	-91.562302	-103.73403
-117.60062	-91.845421	-98.862816
-122.37224	-86.649239	-93.475502
-120.95451	-77.138802	-88.577438
-116.13109	-69.076958	-80.921188
-111.47735	-67.679802	-69.835548
-106.06526	-73.925835	-60.644688
-96.009064	-84.160576	-59.860394
